Row ID;Order ID;Order Date;Ship Date;Ship Mode;Customer ID;Customer Name;Segment;Country;City;State;Postal Code;Region;Product ID;Category;Sub-Category;Product Name;Sales;Quantity;Discount;Profit;Returned;Person_Region
1;CA-2014-103800;1/3/2018;1/7/2018;Standard Class;DP-13000;Darren Powers;Consumer;United States;Houston;Texas;77095;Central;OFF-PA-10000174;Office Supplies;Paper;"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book";16,448;2;0,2;5,5512;;Kelly Williams
2;CA-2014-112326;1/4/2018;1/8/2018;Standard Class;PO-19195;Phillina Ober;Home Office;United States;Naperville;Illinois;60540;Central;OFF-LA-10003223;Office Supplies;Labels;Avery 508;11,784;3;0,2;4,2717;;Kelly Williams
3;CA-2014-112326;1/4/2018;1/8/2018;Standard Class;PO-19195;Phillina Ober;Home Office;United States;Naperville;Illinois;60540;Central;OFF-ST-10002743;Office Supplies;Storage;SAFCO Boltless Steel Shelving;272,736;3;0,2;-64,7748;;Kelly Williams
4;CA-2014-112326;1/4/2018;1/8/2018;Standard Class;PO-19195;Phillina Ober;Home Office;United States;Naperville;Illinois;60540;Central;OFF-BI-10004094;Office Supplies;Binders;GBC Standard Plastic Binding Systems Combs;3,54;2;0,8;-5,487;;Kelly Williams
5;CA-2014-141817;1/5/2018;1/12/2018;Standard Class;MB-18085;Mick Brown;Consumer;United States;Philadelphia;Pennsylvania;19143;East;OFF-AR-10003478;Office Supplies;Art;Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack;19,536;3;0,2;4,884;;Chuck Magee
6;CA-2014-130813;1/6/2018;1/8/2018;Second Class;LS-17230;Lycoris Saunders;Consumer;United States;Los Angeles;California;90049;West;OFF-PA-10002005;Office Supplies;Paper;Xerox 225;19,44;3;0;9,3312;;Anna Andreadi
7;CA-2014-106054;1/6/2018;1/7/2018;First Class;JO-15145;Jack O'Briant;Corporate;United States;Athens;Georgia;30605;South;OFF-AR-10002399;Office Supplies;Art;Dixon Prang Watercolor Pencils, 10-Color Set with Brush;12,78;3;0;5,2398;;Cassandra Brandow
8;CA-2014-167199;1/6/2018;1/10/2018;Standard Class;ME-17320;Maria Etezadi;Home Office;United States;Henderson;Kentucky;42420;South;FUR-CH-10004063;Furniture;Chairs;Global Deluxe High-Back Manager's Chair;2573,82;9;0;746,4078;;Cassandra Brandow
9;CA-2014-167199;1/6/2018;1/10/2018;Standard Class;ME-17320;Maria Etezadi;Home Office;United States;Henderson;Kentucky;42420;South;OFF-BI-10004632;Office Supplies;Binders;Ibico Hi-Tech Manual Binding System;609,98;2;0;274,491;;Cassandra Brandow
10;CA-2014-167199;1/6/2018;1/10/2018;Standard Class;ME-17320;Maria Etezadi;Home Office;United States;Henderson;Kentucky;42420;South;OFF-AR-10001662;Office Supplies;Art;Rogers Handheld Barrel Pencil Sharpener;5,48;2;0;1,4796;;Cassandra Brandow
11;CA-2014-167199;1/6/2018;1/10/2018;Standard Class;ME-17320;Maria Etezadi;Home Office;United States;Henderson;Kentucky;42420;South;TEC-PH-10004977;Technology;Phones;GE 30524EE4;391,98;2;0;113,6742;;Cassandra Brandow
12;CA-2014-167199;1/6/2018;1/10/2018;Standard Class;ME-17320;Maria Etezadi;Home Office;United States;Henderson;Kentucky;42420;South;TEC-PH-10004539;Technology;Phones;Wireless Extenders zBoost YX545 SOHO Signal Booster;755,96;4;0;204,1092;;Cassandra Brandow
13;CA-2014-167199;1/6/2018;1/10/2018;Standard Class;ME-17320;Maria Etezadi;Home Office;United States;Henderson;Kentucky;42420;South;OFF-FA-10001883;Office Supplies;Fasteners;Alliance Super-Size Bands, Assorted Sizes;31,12;4;0;0,3112;;Cassandra Brandow
14;CA-2014-167199;1/6/2018;1/10/2018;Standard Class;ME-17320;Maria Etezadi;Home Office;United States;Henderson;Kentucky;42420;South;OFF-PA-10000955;Office Supplies;Paper;Southworth 25% Cotton Granite Paper & Envelopes;6,54;1;0;3,0084;;Cassandra Brandow
15;CA-2014-105417;1/7/2018;1/12/2018;Standard Class;VS-21820;Vivek Sundaresam;Consumer;United States;Huntsville;Texas;77340;Central;FUR-FU-10004864;Furniture;Furnishings;"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock";76,728;3;0,6;-53,7096;;Kelly Williams
16;CA-2014-105417;1/7/2018;1/12/2018;Standard Class;VS-21820;Vivek Sundaresam;Consumer;United States;Huntsville;Texas;77340;Central;OFF-BI-10003708;Office Supplies;Binders;"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""";10,43;7;0,8;-18,2525;;Kelly Williams
17;CA-2014-135405;1/9/2018;1/13/2018;Standard Class;MS-17830;Melanie Seite;Consumer;United States;Laredo;Texas;78041;Central;OFF-AR-10004078;Office Supplies;Art;Newell 312;9,344;2;0,2;1,168;;Kelly Williams
18;CA-2014-135405;1/9/2018;1/13/2018;Standard Class;MS-17830;Melanie Seite;Consumer;United States;Laredo;Texas;78041;Central;TEC-AC-10001266;Technology;Accessories;Memorex Micro Travel Drive 8 GB;31,2;3;0,2;9,75;;Kelly Williams
